particao,Localidade,Modelo,horizonte_h,escopo,versao_previsao,N_previsoes,MAE_wm2,RMSE_wm2,nRMSE,nRMSE_percentual,R2
validacao_2023,Lucid AMP 1 Casa Grande,XGBoost,24,todas_horas,bruta,8712,30.50495392103329,64.71890845444571,0.2609536781677097,26.09536781677097,0.9611950717787839
validacao_2023,Lucid AMP 1 Casa Grande,XGBoost,24,todas_horas,pos_processada,8712,30.49765767671208,64.76898917297024,0.2611556090719285,26.115560907192847,0.9611349925640481
validacao_2023,Lucid AMP 1 Casa Grande,LSTM,24,todas_horas,bruta,8712,37.41053906508341,70.69088202063146,0.2850333251400229,28.503332514002288,0.9537031633669558
validacao_2023,Lucid AMP 1 Casa Grande,LSTM,24,todas_horas,pos_processada,8712,35.61066574392542,70.30010228901823,0.28345765875823214,28.345765875823215,0.9542136071156764
validacao_2023,Lucid AMP 1 Casa Grande,TimesNet,24,todas_horas,bruta,8712,32.9097171544548,66.13752431626035,0.2666736916210911,26.66736916210911,0.9594752461950153
validacao_2023,Lucid AMP 1 Casa Grande,TimesNet,24,todas_horas,pos_processada,8712,29.22652300940339,65.83917979423354,0.26547073405825017,26.547073405825017,0.9598400336236341
validacao_2023,Lucid AMP 1 Casa Grande,Persistência,24,diurno_elevacao_gt_0,bruta,4372,59.880375114364135,116.28613074664415,0.23575320420046705,23.575320420046705,0.8566508076181619
validacao_2023,Lucid AMP 1 Casa Grande,Persistência,24,diurno_elevacao_gt_0,pos_processada,4372,59.880375114364135,116.28613074664415,0.23575320420046705,23.575320420046705,0.8566508076181619
validacao_2023,Lucid AMP 1 Casa Grande,Sazonal Ingênuo,24,diurno_elevacao_gt_0,bruta,4372,73.29906221408966,135.82847365936613,0.27537245999371607,27.537245999371606,0.804421527043029
validacao_2023,Lucid AMP 1 Casa Grande,Sazonal Ingênuo,24,diurno_elevacao_gt_0,pos_processada,4372,73.29906221408966,135.82847365936613,0.27537245999371607,27.537245999371606,0.804421527043029
validacao_2023,Lucid AMP 1 Casa Grande,XGBoost,24,diurno_elevacao_gt_0,bruta,4372,59.82264265313716,91.30945568615208,0.1851166309653151,18.51166309653151,0.9116165565584899
validacao_2023,Lucid AMP 1 Casa Grande,XGBoost,24,diurno_elevacao_gt_0,pos_processada,4372,59.82264265313716,91.30945568615208,0.1851166309653151,18.51166309653151,0.9116165565584899
validacao_2023,Lucid AMP 1 Casa Grande,LSTM,24,diurno_elevacao_gt_0,bruta,4372,70.14662029266373,99.15880099782764,0.20103003608269046,20.103003608269045,0.895767790605213
validacao_2023,Lucid AMP 1 Casa Grande,LSTM,24,diurno_elevacao_gt_0,pos_processada,4372,70.0112351237599,99.12675431259885,0.20096506609290596,20.096506609290596,0.8958351523926458
validacao_2023,Lucid AMP 1 Casa Grande,TimesNet,24,diurno_elevacao_gt_0,bruta,4372,57.29239202384928,92.82225103877086,0.18818360334963571,18.81836033496357,0.9086636604303711
validacao_2023,Lucid AMP 1 Casa Grande,TimesNet,24,diurno_elevacao_gt_0,pos_processada,4372,57.2896771404214,92.82211434891926,0.18818332623085732,18.81833262308573,0.9086639294335759
validacao_2023,Rivian Normal,Persistência,24,todas_horas,bruta,8712,64.90220385674931,142.31684720265662,0.8169595454239953,81.69595454239953,0.7044390797845356
validacao_2023,Rivian Normal,Persistência,24,todas_horas,pos_processada,8712,65.11455463728191,142.33407687498126,0.8170584511090693,81.70584511090692,0.7043675109412728
validacao_2023,Rivian Normal,Sazonal Ingênuo,24,todas_horas,bruta,8712,80.58568640955005,168.6617479159252,0.9681905383387289,96.81905383387289,0.5848858136613666
validacao_2023,Rivian Normal,Sazonal Ingênuo,24,todas_horas,pos_processada,8712,80.77467860422406,168.67457689369286,0.9682641821556862,96.82641821556862,0.5848226613073716
validacao_2023,Rivian Normal,XGBoost,24,todas_horas,bruta,8712,59.22877250421038,111.32639501590813,0.639061101012015,63.9061101012015,0.8191449359825953
validacao_2023,Rivian Normal,XGBoost,24,todas_horas,pos_processada,8712,59.03643825564486,111.31895061078698,0.6390183669440304,63.90183669440304,0.8191691227596668
validacao_2023,Rivian Normal,LSTM,24,todas_horas,bruta,8712,64.27869826839814,115.36482496932217,0.66224341543098,66.22434154309799,0.8057856995523078
validacao_2023,Rivian Normal,LSTM,24,todas_horas,pos_processada,8712,62.22705673555088,115.16636413271519,0.6611041653840194,66.11041653840194,0.8064533342357046
validacao_2023,Rivian Normal,TimesNet,24,todas_horas,bruta,8712,61.943851115938905,112.07821007885828,0.6433768408850046,64.33768408850045,0.8166939686339794
validacao_2023,Rivian Normal,TimesNet,24,todas_horas,pos_processada,8712,59.442129166380106,111.9631873965089,0.6427165615144829,64.27165615144828,0.8170700191128072
validacao_2023,Rivian Normal,Persistência,24,diurno_elevacao_gt_0,bruta,4346,129.81339162448228,201.48958057789045,0.5781749519932757,57.817495199327574,0.47099060363397893
validacao_2023,Rivian Normal,Persistência,24,diurno_elevacao_gt_0,pos_processada,4346,129.81339162448228,201.48958057789045,0.5781749519932757,57.817495199327574,0.47099060363397893
validacao_2023,Rivian Normal,Sazonal Ingênuo,24,diurno_elevacao_gt_0,bruta,4346,161.20570639668662,238.7886043846843,0.6852046119738945,68.52046119738945,0.25700584882323474
validacao_2023,Rivian Normal,Sazonal Ingênuo,24,diurno_elevacao_gt_0,pos_processada,4346,161.20570639668662,238.7886043846843,0.6852046119738945,68.52046119738945,0.25700584882323474
