Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2,Frequencia,Localidade,Pais,Origem
RNN,0.0355521848625711,0.0018938193580317,0.0435180348594896,0.9834658159160538,0.084271264454717,8.427126445471702,10.130667921131746,148.1546027496757,12.171877535929932,0.9834022099237474,0.0551674577278107,5.516745772781079,0.0355521848625711,0.0018938193580317,0.0435180348594896,0.9834658159160538,mensal,Tesla Fremont Factory,EUA,oficial
LSTM,0.0737847358848792,0.0063631688384529,0.0797694730987544,0.944445702022206,0.1544710000031789,15.447100000317898,20.518287429925223,500.3963913325597,22.36954159862378,0.9439404911888885,0.1013870487022033,10.138704870220332,0.0737847358848792,0.0063631688384529,0.0797694730987544,0.944445702022206,mensal,Tesla Fremont Factory,EUA,oficial
XGBoost,0.0235948866365228,0.0007721873574837,0.0277882593460579,0.991649452330866,0.0525425648181046,5.254256481810461,5.609877079131745,44.25997670615201,6.652817200716702,0.9920231785635378,0.0269807475510241,2.6980747551024167,0.0235948866365228,0.0007721873574837,0.0277882593460579,0.991649452330866,mensal,Lucid AMP 1 Casa Grande,EUA,oficial
MLP,0.0697809637881841,0.0069612437474898,0.0834340682664451,0.9247200861468444,0.1577587097246431,15.775870972464318,17.074031785816874,414.1322509936821,20.35023958074406,0.9253623868989164,0.0825311533693974,8.253115336939743,0.0697809637881841,0.0069612437474898,0.0834340682664451,0.9247200861468444,mensal,Lucid AMP 1 Casa Grande,EUA,oficial
RNN,0.0366155226419134,0.0018585259448796,0.043110624501156,0.9799016270512224,0.0815143818111188,8.151438181111883,8.906248550667021,109.87401177762622,10.48208050806834,0.9801977895678368,0.042510467290043,4.251046729004303,0.0366155226419134,0.0018585259448796,0.043110624501156,0.9799016270512224,mensal,Lucid AMP 1 Casa Grande,EUA,oficial
LSTM,0.0660885677445591,0.0060584323053,0.0778359319678263,0.9344832218822068,0.147173648038421,14.7173648038421,16.219108227142954,363.9046713384594,19.07628557498706,0.9344147286286784,0.0773645855254406,7.736458552544062,0.0660885677445591,0.0060584323053,0.0778359319678263,0.9344832218822068,mensal,Lucid AMP 1 Casa Grande,EUA,oficial
XGBoost,0.0619075654460767,0.0061340839634498,0.0783203930241024,0.923912775867352,0.1719888745947148,17.198887459471486,16.855013761599526,448.0934570473801,21.168218088620023,0.924673186824586,0.1320705496679102,13.207054966791024,0.0619075654460767,0.0061340839634498,0.0783203930241024,0.923912775867352,mensal,GM Factory Zero,EUA,oficial
MLP,0.0542904824972889,0.003986836739078,0.0631414027328984,0.9505472467683824,0.1386563368370853,13.865633683708536,14.564139064858436,291.1687050522774,17.063666225412327,0.9510530441740392,0.1064618556132268,10.646185561322682,0.0542904824972889,0.003986836739078,0.0631414027328984,0.9505472467683824,mensal,GM Factory Zero,EUA,oficial
RNN,0.0483452671957923,0.0035596308764421,0.0596626422180756,0.9558463115374408,0.1310170990494918,13.101709904949184,13.039407451109952,259.9942635856252,16.12433761695733,0.9562936280104556,0.1006012940336889,10.060129403368895,0.0483452671957923,0.0035596308764421,0.0596626422180756,0.9558463115374408,mensal,GM Factory Zero,EUA,oficial
LSTM,0.0629286014394262,0.0057472393155611,0.0758105488409174,0.9287111998217368,0.166477343564205,16.6477343564205,17.30468367070534,431.0431468160378,20.761578620520112,0.9275394316071858,0.1295334868956075,12.953348689560752,0.0629286014394262,0.0057472393155611,0.0758105488409174,0.9287111998217368,mensal,GM Factory Zero,EUA,oficial
