Localidade,Modelo,seed,N_teste,MAE_wm2,MSE_wm4,RMSE_wm2,R2,nRMSE_percentual
Tesla Gigafactory Nevada,RNN,11,12,10.473829051750549,155.85631354116154,12.484242609832666,0.9822956580633259,5.619609756866298
Tesla Gigafactory Texas,RNN,11,12,13.146185678646082,285.43153623975417,16.89471918203301,0.9141877604296562,8.087968419928625
BMW San Luis Potosi,RNN,23,12,16.067281904150057,449.41644862688366,21.19944453580998,0.7775848621923817,8.554407744320581
BYD Camacari,RNN,23,12,16.030384478134717,445.1499459332353,21.098576869856302,0.6823341821605048,8.931677633749981
Ford Rouge Electric Vehicle Center,RNN,23,12,15.216248959528508,357.30545464881646,18.9025250865808,0.9404787506018164,11.781276506323712
GM Factory Zero,RNN,23,12,15.151551271177313,341.2599798266313,18.473223319892803,0.9426324434326027,11.525621796706227
Hyundai Metaplant Georgia,RNN,23,12,12.464728094762007,235.0346939275207,15.330841266138028,0.9218297751840516,7.729348021070383
Lucid AMP 1 Casa Grande,RNN,23,12,10.29789464849523,179.84085262657152,13.410475481002585,0.9675879095484505,5.43866819988908
Rivian Normal,RNN,23,12,16.25218282982727,461.43757918042644,21.48109818376208,0.9217864596902069,11.940592257058352
Tesla Fremont Factory,RNN,23,12,5.996757176824981,61.16392221879273,7.820736680057239,0.9931477934374875,3.544647560935506
Tesla Gigafactory Nevada,RNN,23,12,9.617904129166993,114.87831885230997,10.718130380449287,0.986950512354224,4.824618676818971
Tesla Gigafactory Texas,RNN,23,12,12.87402423744656,258.2504019340344,16.07017118558587,0.9223595064096691,7.693234533906295
BMW San Luis Potosi,RNN,42,12,18.750236469010886,447.8958305781211,21.163549574164563,0.7783374124693054,8.539923396046127
BYD Camacari,RNN,42,12,16.02239071179102,467.14467588058795,21.613529926427752,0.6666384060726592,9.14967312824144
Ford Rouge Electric Vehicle Center,RNN,42,12,12.479659771837353,230.27550244440724,15.17483121634001,0.9616398646229539,9.45793652845948
GM Factory Zero,RNN,42,12,13.20008446962378,211.16087367464056,14.531375491488772,0.9645027718412658,9.06626500424927
