tarefa,epoca,fase,modelo,mse_treino_normalizado,mse_validacao_normalizado,semente
daily_30,5,refit_epocas_fixas,LSTM,0.031900186070849774,0.031900186070849774,11
daily_30,6,refit_epocas_fixas,LSTM,0.03163150601796598,0.03163150601796598,11
daily_30,7,refit_epocas_fixas,LSTM,0.030020455739268377,0.030020455739268377,11
daily_30,8,refit_epocas_fixas,LSTM,0.027322824361770512,0.027322824361770512,11
daily_30,9,refit_epocas_fixas,LSTM,0.028287147018829537,0.028287147018829537,11
daily_30,10,refit_epocas_fixas,LSTM,0.026847415425757457,0.026847415425757457,11
daily_30,11,refit_epocas_fixas,LSTM,0.026632036689106978,0.026632036689106978,11
daily_30,12,refit_epocas_fixas,LSTM,0.026682584753582598,0.026682584753582598,11
daily_30,13,refit_epocas_fixas,LSTM,0.026486239365858737,0.026486239365858737,11
daily_30,14,refit_epocas_fixas,LSTM,0.026328555276024276,0.026328555276024276,11
daily_30,15,refit_epocas_fixas,LSTM,0.026528823465192117,0.026528823465192117,11
daily_30,16,refit_epocas_fixas,LSTM,0.0261929444864642,0.0261929444864642,11
daily_30,17,refit_epocas_fixas,LSTM,0.02603827720539197,0.02603827720539197,11
daily_30,18,refit_epocas_fixas,LSTM,0.025896574259220553,0.025896574259220553,11
daily_30,19,refit_epocas_fixas,LSTM,0.025953589340245258,0.025953589340245258,11
daily_30,20,refit_epocas_fixas,LSTM,0.025959365242603106,0.025959365242603106,11
daily_30,21,refit_epocas_fixas,LSTM,0.025795163568005215,0.025795163568005215,11
daily_30,22,refit_epocas_fixas,LSTM,0.025845779769913445,0.025845779769913445,11
daily_30,23,refit_epocas_fixas,LSTM,0.02575361006294882,0.02575361006294882,11
daily_30,24,refit_epocas_fixas,LSTM,0.02570316972179786,0.02570316972179786,11
daily_30,1,selecao_epocas,LSTM,0.19136777729522209,0.06151604266393752,23
daily_30,2,selecao_epocas,LSTM,0.0446524667468938,0.03758774984450567,23
daily_30,3,selecao_epocas,LSTM,0.03511669410160466,0.03464216368538993,23
daily_30,4,selecao_epocas,LSTM,0.033070415039847915,0.03357633634219094,23
daily_30,5,selecao_epocas,LSTM,0.03225892990680923,0.032964124963397075,23
daily_30,6,selecao_epocas,LSTM,0.03145843020936207,0.03226639382422916,23
daily_30,7,selecao_epocas,LSTM,0.03038977296026153,0.029554480938684374,23
daily_30,8,selecao_epocas,LSTM,0.028086539498602774,0.027194465304177906,23
daily_30,9,selecao_epocas,LSTM,0.02707786805362152,0.027283246119817098,23
daily_30,10,selecao_epocas,LSTM,0.026749449088862263,0.027629558131808327,23
daily_30,11,selecao_epocas,LSTM,0.026957248371258558,0.026651871753117395,23
daily_30,12,selecao_epocas,LSTM,0.02674839410166262,0.026933856180735998,23
daily_30,13,selecao_epocas,LSTM,0.026426629039904954,0.02658091728649442,23
daily_30,14,selecao_epocas,LSTM,0.026593512127694396,0.026552496240252542,23
daily_30,15,selecao_epocas,LSTM,0.026452849015607495,0.026293187425250098,23
daily_30,16,selecao_epocas,LSTM,0.026366835344153357,0.026564231448703342,23
daily_30,17,selecao_epocas,LSTM,0.026315444179975552,0.026988117373178876,23
daily_30,18,selecao_epocas,LSTM,0.026280337685916394,0.02644925740030077,23
daily_30,19,selecao_epocas,LSTM,0.026367565775473428,0.026833177842791118,23
daily_30,20,selecao_epocas,LSTM,0.0262356767212691,0.025992145708629063,23
daily_30,21,selecao_epocas,LSTM,0.026124653920894376,0.026178493632210625,23
daily_30,22,selecao_epocas,LSTM,0.026028120269494404,0.026468786890544587,23
daily_30,23,selecao_epocas,LSTM,0.025911539989927717,0.026077373671153235,23
daily_30,24,selecao_epocas,LSTM,0.025989836354887476,0.025910967115371945,23
daily_30,25,selecao_epocas,LSTM,0.025828324910864276,0.026420749388043844,23
daily_30,26,selecao_epocas,LSTM,0.025802524317659947,0.0266088548917619,23
daily_30,27,selecao_epocas,LSTM,0.025759034047659134,0.02612419843673706,23
daily_30,28,selecao_epocas,LSTM,0.02586426857087304,0.026334384206741574,23
daily_30,29,selecao_epocas,LSTM,0.025574653686112406,0.02571820821080889,23
daily_30,30,selecao_epocas,LSTM,0.025610986072308235,0.025885728767939976,23
daily_30,1,refit_epocas_fixas,LSTM,0.15496714651667873,0.15496714651667873,23
daily_30,2,refit_epocas_fixas,LSTM,0.03791555408076201,0.03791555408076201,23
daily_30,3,refit_epocas_fixas,LSTM,0.033297405341983506,0.033297405341983506,23
daily_30,4,refit_epocas_fixas,LSTM,0.03221494250374134,0.03221494250374134,23
daily_30,5,refit_epocas_fixas,LSTM,0.03117641077777527,0.03117641077777527,23
daily_30,6,refit_epocas_fixas,LSTM,0.028398712551710326,0.028398712551710326,23
daily_30,7,refit_epocas_fixas,LSTM,0.027062170721548897,0.027062170721548897,23
daily_30,8,refit_epocas_fixas,LSTM,0.02645226597119976,0.02645226597119976,23
daily_30,9,refit_epocas_fixas,LSTM,0.026413847272955506,0.026413847272955506,23
daily_30,10,refit_epocas_fixas,LSTM,0.02649735534282703,0.02649735534282703,23
daily_30,11,refit_epocas_fixas,LSTM,0.02626863946961291,0.02626863946961291,23
daily_30,12,refit_epocas_fixas,LSTM,0.026121853876796514,0.026121853876796514,23
daily_30,13,refit_epocas_fixas,LSTM,0.026112767977005277,0.026112767977005277,23
daily_30,14,refit_epocas_fixas,LSTM,0.02601513738156031,0.02601513738156031,23
daily_30,15,refit_epocas_fixas,LSTM,0.025907783676459135,0.025907783676459135,23
daily_30,16,refit_epocas_fixas,LSTM,0.02585523854420838,0.02585523854420838,23
daily_30,17,refit_epocas_fixas,LSTM,0.02568549042432335,0.02568549042432335,23
daily_30,18,refit_epocas_fixas,LSTM,0.02578039710623259,0.02578039710623259,23
daily_30,19,refit_epocas_fixas,LSTM,0.025525079388691727,0.025525079388691727,23
daily_30,20,refit_epocas_fixas,LSTM,0.02544770280325879,0.02544770280325879,23
daily_30,21,refit_epocas_fixas,LSTM,0.025475507246215917,0.025475507246215917,23
daily_30,22,refit_epocas_fixas,LSTM,0.025462451668757966,0.025462451668757966,23
daily_30,23,refit_epocas_fixas,LSTM,0.025273122486538728,0.025273122486538728,23
daily_30,24,refit_epocas_fixas,LSTM,0.02535861232968349,0.02535861232968349,23
daily_30,25,refit_epocas_fixas,LSTM,0.025191376491465384,0.025191376491465384,23
daily_30,26,refit_epocas_fixas,LSTM,0.02509922834956113,0.02509922834956113,23
daily_30,27,refit_epocas_fixas,LSTM,0.02521094628219498,0.02521094628219498,23
daily_30,28,refit_epocas_fixas,LSTM,0.024890307940584323,0.024890307940584323,23
daily_30,29,refit_epocas_fixas,LSTM,0.024759805880944823,0.024759805880944823,23
