data_local,localidade,latitude_fabrica,longitude_fabrica,precipitacao_corrigida_mm_dia,nebulosidade_percentual,irradiacao_all_sky_kwh_m2_dia,irradiacao_clear_sky_kwh_m2_dia,indice_all_sky_clear_sky,chuva_relevante,muito_nublado,condicao_adversa_independente,fonte_contexto,time_standard
2024-02-03,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,5.11,6.1613,6.2057,0.9928452873970703,False,False,False,NASA POWER Daily API,LST
2024-02-04,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,0.71,6.3881,6.3989,0.9983122099110784,False,False,False,NASA POWER Daily API,LST
2024-02-05,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,0.99,6.407,6.4174,0.9983794059899648,False,False,False,NASA POWER Daily API,LST
2024-02-06,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,0.95,6.3514,6.3629,0.9981926480064122,False,False,False,NASA POWER Daily API,LST
2024-02-07,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,16.01,6.1387,6.265,0.9798403830806066,False,False,False,NASA POWER Daily API,LST
2024-02-08,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,23.29,5.9393,6.275,0.9465019920318725,False,False,False,NASA POWER Daily API,LST
2024-02-09,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,1.63,6.3605,6.3782,0.9972249223918974,False,False,False,NASA POWER Daily API,LST
2024-02-10,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,36.87,5.9558,6.3233,0.9418816124491959,False,False,False,NASA POWER Daily API,LST
2024-02-11,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,81.41,4.9949,6.2402,0.8004390884907536,False,True,True,NASA POWER Daily API,LST
2024-02-12,BMW San Luis Potosi,21.9682649,-100.8491733,0.0,98.08,3.0067,6.3151,0.47611280898164715,False,True,True,NASA POWER Daily API,LST
2024-02-13,BMW San Luis Potosi,21.9682649,-100.8491733,0.44,83.42,4.0222,6.162,0.6527426160337553,False,True,True,NASA POWER Daily API,LST
2024-02-14,BMW San Luis Potosi,21.9682649,-100.8491733,0.98,83.92,2.9542,5.9407,0.49728146514720495,False,True,True,NASA POWER Daily API,LST
