Modelo,MAE_normalizado,MSE_normalizado,RMSE_normalizado,R2_normalizado,nRMSE_normalizado,nRMSE_percentual_normalizado,MAE_wm2,MSE_wm2,RMSE_wm2,R2_wm2,nRMSE_wm2,nRMSE_percentual_wm2,MAE,MSE,RMSE,R2,Frequencia,Localidade,Pais,Origem
RNN,0.1230728601778154,0.0253633220171899,0.1592586638685317,0.6434474647517536,0.4200984882618328,42.00984882618328,45.96875161276392,3540.893563363943,59.50540784974037,0.6432370714331093,0.4104158968076943,41.04158968076944,0.1230728601778154,0.0253633220171899,0.1592586638685317,0.6434474647517536,diaria,GM Factory Zero,EUA,oficial
LSTM,0.1252297413411801,0.0261230691915547,0.1616263257998361,0.6327670901153449,0.4263439958775262,42.63439958775263,46.77317576454501,3647.623392843644,60.395557724419135,0.6324835015081075,0.4165553666863322,41.65553666863322,0.1252297413411801,0.0261230691915547,0.1616263257998361,0.6327670901153449,diaria,GM Factory Zero,EUA,oficial
XGBoost,0.124004396469106,0.0248729792911329,0.1577116967479994,0.6511624094057944,0.413065532285637,41.3065532285637,46.005063799586296,3422.919959376304,58.50572586829689,0.6514800037860914,0.4030555105507494,40.30555105507494,0.124004396469106,0.0248729792911329,0.1577116967479994,0.6511624094057944,diaria,Ford Rouge Electric Vehicle Center,EUA,oficial
MLP,0.1221536357464586,0.0251243665478431,0.158506676666452,0.6476367632051336,0.4151476784418397,41.51476784418397,45.35122344057219,3459.8750471610483,58.82070253882598,0.6477172552533531,0.4052254363292529,40.52254363292529,0.1221536357464586,0.0251243665478431,0.158506676666452,0.6476367632051336,diaria,Ford Rouge Electric Vehicle Center,EUA,oficial
RNN,0.1227866351834519,0.0248910206709046,0.157768883722059,0.6509093833658944,0.4132153117146004,41.321531171460045,45.57249324055199,3426.114360583508,58.53301940429443,0.6511547514547913,0.40324354018243,40.324354018243,0.1227866351834519,0.0248910206709046,0.157768883722059,0.6509093833658944,diaria,Ford Rouge Electric Vehicle Center,EUA,oficial
LSTM,0.1245846910598059,0.0253916437390923,0.1593475564264865,0.6438882644698263,0.417350041695986,41.73500416959861,46.24952306386924,3496.875669124456,59.1343865202342,0.6439498704533448,0.4073864565610623,40.73864565610623,0.1245846910598059,0.0253916437390923,0.1593475564264865,0.6438882644698263,diaria,Ford Rouge Electric Vehicle Center,EUA,oficial
XGBoost,0.0988343593798549,0.0181432282155954,0.1346968010592511,0.5692699083036799,0.2268640669846639,22.686406698466392,34.606253380691484,2226.6207870613134,47.18708284118985,0.5681893809103322,0.2008002906083509,20.080029060835088,0.0988343593798549,0.0181432282155954,0.1346968010592511,0.5692699083036799,diaria,BMW San Luis Potosi,Mexico,oficial
MLP,0.0963841800057601,0.0172574884027358,0.1313677601344249,0.5902978525194826,0.2212571055911841,22.125710559118414,33.77843971126959,2116.4876487188403,46.005300224200695,0.5895476018190288,0.1957713233859868,19.577132338598688,0.0963841800057601,0.0172574884027358,0.1313677601344249,0.5902978525194826,diaria,BMW San Luis Potosi,Mexico,oficial
RNN,0.0961733976123406,0.0167652926195435,0.1294808581202007,0.6019828477313444,0.2180790771481763,21.807907714817627,33.7143477392917,2056.808371837441,45.35204925730966,0.601121258926125,0.1929914739845442,19.299147398454423,0.0961733976123406,0.0167652926195435,0.1294808581202007,0.6019828477313444,diaria,BMW San Luis Potosi,Mexico,oficial
LSTM,0.0990076028568624,0.018609651942079,0.1364171981169494,0.5581967557152716,0.2297616582434659,22.976165824346594,34.67722604102566,2281.4798596174337,47.76483915619767,0.5575505104655774,0.2032588794629497,20.32588794629497,0.0990076028568624,0.018609651942079,0.1364171981169494,0.5581967557152716,diaria,BMW San Luis Potosi,Mexico,oficial
DilatedRNN,0.12243231751043827,0.024426471074953618,0.15628970239575485,0.3804037880200303,0.23148370567886647,23.148370567886648,39.145538059626055,2499.805407635702,49.99805403848936,0.38105387186214035,0.20484995125673847,20.484995125673848,0.12243231751043827,0.024426471074953618,0.15628970239575485,0.3804037880200303,diaria,BYD Camacari,Brasil,experimento
DeepAR_exp,0.13182338194215756,0.026713935736652462,0.16344398348257566,0.3223804888263977,0.24208004998088553,24.208004998088555,42.14983698142961,2733.783096456524,52.2855916716692,0.3231215287589777,0.21422235547659288,21.422235547659287,0.13182338194215756,0.026713935736652462,0.16344398348257566,0.3223804888263977,diaria,BYD Camacari,Brasil,experimento
DeepNPTS_aprox,0.1267983906170352,0.026122059007462308,0.16162320070912564,0.33739389695399846,0.23938325334506377,23.938325334506377,40.5459842516584,2673.296788497285,51.703933975059236,0.3380978009129506,0.21183921171049885,21.183921171049885,0.1267983906170352,0.026122059007462308,0.16162320070912564,0.33739389695399846,diaria,BYD Camacari,Brasil,experimento
DilatedRNN,0.07507115391918967,0.010377335334385592,0.10186920699792254,0.8589212917651088,0.19952591401990163,19.952591401990162,29.000519044892293,1549.3913541940867,39.36230880161994,0.8588501009791167,0.19177693802772688,19.177693802772687,0.07507115391918967,0.010377335334385592,0.10186920699792254,0.8589212917651088,diaria,Tesla Gigafactory Nevada,EUA,experimento
DeepAR_exp,0.08032117127262281,0.011784010055326373,0.1085541802756871,0.8397977069389131,0.21261942326329636,21.261942326329635,31.007394144634176,1759.3535577686762,41.9446487381725,0.8397224972574794,0.20435834549736148,20.43583454973615,0.08032117127262281,0.011784010055326373,0.1085541802756871,0.8397977069389131,diaria,Tesla Gigafactory Nevada,EUA,experimento
DeepNPTS_aprox,0.07894156220882048,0.011136275068266949,0.10552855096260419,0.8486035913310356,0.20669328059497674,20.669328059497673,30.48620378643595,1662.1907576532776,40.769973726423686,0.8485740500867569,0.1986352163469291,19.86352163469291,0.07894156220882048,0.011136275068266949,0.10552855096260419,0.8486035913310356,diaria,Tesla Gigafactory Nevada,EUA,experimento
DilatedRNN,0.11953565584221743,0.02384998265462606,0.15443439595707317,0.5763169635339582,0.29830699596316734,29.830699596316734,42.442721961833264,3005.3465304456745,54.82104094638914,0.5763178697333701,0.2796725508240326,27.96725508240326,0.11953565584221743,0.02384998265462606,0.15443439595707317,0.5763169635339582,diaria,Tesla Gigafactory Texas,EUA,experimento
DeepAR_exp,0.1261130495736361,0.02708195738060993,0.16456596665352752,0.5189025458584491,0.3178772374247122,31.78772374247122,44.788794188894286,3410.57566678604,58.400134133288084,0.5191902333721374,0.297931491258889,29.793149125888903,0.1261130495736361,0.02708195738060993,0.16456596665352752,0.5189025458584491,diaria,Tesla Gigafactory Texas,EUA,experimento
DeepNPTS_aprox,0.12766221898670282,0.026297976408388966,0.16216650828204004,0.5328295764836789,0.31324242006876474,31.324242006876474,45.31659478891219,3314.1197412515035,57.5683918591748,0.5327882166972921,0.2936883123733052,29.36883123733052,0.12766221898670282,0.026297976408388966,0.16216650828204004,0.5328295764836789,diaria,Tesla Gigafactory Texas,EUA,experimento
DilatedRNN,0.12995756503587955,0.026234651823761664,0.16197114503442167,0.5215576940023114,0.3208788542613978,32.08788542613978,45.77447753295795,3258.5934587298957,57.08409111766514,0.5214177005077394,0.3058538281850226,30.58538281850226,0.12995756503587955,0.026234651823761664,0.16197114503442167,0.5215576940023114,diaria,Hyundai Metaplant Georgia,EUA,experimento
DeepAR_exp,0.17041920930522744,0.04531228706241644,0.21286682940847415,0.1736381615502891,0.42170760919379635,42.17076091937963,60.04295646733646,5625.116563295098,75.00077708460825,0.173851769522957,0.4018505741099591,40.18505741099591,0.17041920930522744,0.04531228706241644,0.21286682940847415,0.1736381615502891,diaria,Hyundai Metaplant Georgia,EUA,experimento
DeepNPTS_aprox,0.1315270925489056,0.026659459085278475,0.1632772460732924,0.5138104684179955,0.32346635344104113,32.346635344104115,46.30955176361714,3311.369904829358,57.544503689139226,0.5136665424534435,0.3083206967078059,30.832069670780587,0.1315270925489056,0.026659459085278475,0.1632772460732924,0.5138104684179955,diaria,Hyundai Metaplant Georgia,EUA,experimento
DilatedRNN,0.12712812948692137,0.02678753999822555,0.16366899522580797,0.6337415261994407,0.38476067529336544,38.47606752933655,46.595696219028746,3601.7148214117574,60.01428847709317,0.6338390516251957,0.3642393634652157,36.42393634652157,0.12712812948692137,0.02678753999822555,0.16366899522580797,0.6337415261994407,diaria,Rivian Normal,EUA,experimento
DeepAR_exp,0.13184867231725889,0.027898386024334608,0.16702809950524675,0.6185532420129469,0.3926574136411176,39.26574136411176,48.28825321924329,3750.686775596809,61.24285081212997,0.6186941235200146,0.3716957671691761,37.169576716917604,0.13184867231725889,0.027898386024334608,0.16702809950524675,0.6185532420129469,diaria,Rivian Normal,EUA,experimento
DeepNPTS_aprox,0.13235388341609955,0.027467326531881824,0.16573269602550314,0.624446996789737,0.38961211897821657,38.961211897821656,48.52275863711975,3693.7100963867183,60.775900621765516,0.6244865407238387,0.3688617480643219,36.886174806432194,0.13235388341609955,0.027467326531881824,0.16573269602550314,0.624446996789737,diaria,Rivian Normal,EUA,experimento
DilatedRNN,0.07012774584949817,0.010140503794945627,0.10070006849523801,0.8733277616703321,0.1907017517260704,19.07017517260704,25.47491803278916,1338.5811249703006,36.586624946424074,0.8737010460094798,0.1788895192592567,17.88895192592567,0.07012774584949817,0.010140503794945627,0.10070006849523801,0.8733277616703321,diaria,Tesla Fremont Factory,EUA,experimento
DeepAR_exp,0.09275408560683725,0.015814833992604093,0.12575704351090675,0.8024456712245606,0.2381536462465828,23.81536462465828,33.747357015292216,2086.7205453073825,45.68063643719714,0.8031119539738784,0.2233544937165837,22.33544937165837,0.09275408560683725,0.015814833992604093,0.12575704351090675,0.8024456712245606,diaria,Tesla Fremont Factory,EUA,experimento
DeepNPTS_aprox,0.07475432642653045,0.011142388517554155,0.10555751284278232,0.8608125077019466,0.19990058505191274,19.990058505191275,27.193919026921634,1470.318871611439,38.34473720879358,0.8612712131876454,0.1874857715202848,18.74857715202848,0.07475432642653045,0.011142388517554155,0.10555751284278232,0.8608125077019466,diaria,Tesla Fremont Factory,EUA,experimento
DilatedRNN,0.0625619964471189,0.009105162119723445,0.09542097316483125,0.8211403661923843,0.16107854663885177,16.107854663885178,23.666882869530134,1303.9660278691822,36.11046978189542,0.820405091148916,0.15544058702305852,15.544058702305852,0.0625619964471189,0.009105162119723445,0.09542097316483125,0.8211403661923843,diaria,Lucid AMP 1 Casa Grande,EUA,experimento
DeepAR_exp,0.06563827707059876,0.009852839265180775,0.09926146918709583,0.806453174609805,0.1675616236513871,16.75616236513871,24.777003116380882,1409.1513606062917,37.53866487511632,0.8059179420655449,0.16158837421648384,16.158837421648382,0.06563827707059876,0.009852839265180775,0.09926146918709583,0.806453174609805,diaria,Lucid AMP 1 Casa Grande,EUA,experimento
DeepNPTS_aprox,0.06835192866882588,0.00988312000987996,0.09941388238007788,0.8058583468805341,0.1678189098097637,16.781890980976367,25.847356342051686,1414.76284205801,37.61333330161008,0.8051450741546472,0.1619097908060874,16.190979080608738,0.06835192866882588,0.00988312000987996,0.09941388238007788,0.8058583468805341,diaria,Lucid AMP 1 Casa Grande,EUA,experimento
DilatedRNN,0.1230955437393173,0.025725693637659065,0.16039231165382917,0.6383533165998397,0.42308886699072856,42.30888669907286,45.98333140301179,3592.0352437165056,59.93359027887872,0.6380842885753613,0.4133691221027106,41.33691221027106,0.1230955437393173,0.025725693637659065,0.16039231165382917,0.6383533165998397,diaria,GM Factory Zero,EUA,experimento
DeepAR_exp,0.12816313262368698,0.028032825252648726,0.16743006077956468,0.6059201193270843,0.44165330610299036,44.16533061029904,47.87317238823784,3916.1710800171836,62.57931830898435,0.6054259643013473,0.43161702395605106,43.161702395605104,0.12816313262368698,0.028032825252648726,0.16743006077956468,0.6059201193270843,diaria,GM Factory Zero,EUA,experimento
DeepNPTS_aprox,0.12669939807533376,0.027446497396367404,0.16566984455949552,0.6141625996891633,0.43701014161132135,43.701014161132136,47.35052639336323,3833.350812148455,61.91405989069409,0.613770525012026,0.42702865728119505,42.702865728119505,0.12669939807533376,0.027446497396367404,0.16566984455949552,0.6141625996891633,diaria,GM Factory Zero,EUA,experimento
DilatedRNN,0.12175534046434829,0.024359548060433552,0.1560754563037813,0.6583631597202866,0.4087800256049361,40.87800256049361,45.19092962046866,3353.3962462628324,57.908516180807396,0.6585588734408463,0.398941235376405,39.8941235376405,0.12175534046434829,0.024359548060433552,0.1560754563037813,0.6583631597202866,diaria,Ford Rouge Electric Vehicle Center,EUA,experimento
DeepAR_exp,0.12630027138810854,0.027071817993301755,0.16453515731691434,0.6203242220703789,0.43093698018738985,43.09369801873898,46.88989763027753,3729.310940617726,61.0680844682206,0.6202834275033982,0.42070801786313183,42.07080178631318,0.12630027138810854,0.027071817993301755,0.16453515731691434,0.6203242220703789,diaria,Ford Rouge Electric Vehicle Center,EUA,experimento
DeepNPTS_aprox,0.12329743988679868,0.026646028733439305,0.1632361134474823,0.626295814687925,0.4275346311007096,42.75346311007096,45.78049565117672,3669.407648710634,60.57563576810923,0.626382750688409,0.417315458258107,41.7315458258107,0.12329743988679868,0.026646028733439305,0.1632361134474823,0.626295814687925,diaria,Ford Rouge Electric Vehicle Center,EUA,experimento
DilatedRNN,0.09606271629926086,0.016698268399675274,0.12922177989671585,0.6035740391128716,0.21764272276570595,21.764272276570594,33.68506907379746,2048.60536899996,45.2615219474551,0.6027120748181846,0.19260624334445645,19.260624334445644,0.09606271629926086,0.016698268399675274,0.12922177989671585,0.6035740391128716,diaria,BMW San Luis Potosi,Mexico,experimento
DeepAR_exp,0.09958821653959908,0.019000957464014295,0.13784396056416218,0.548906950100658,0.23216469327362452,23.21646932736245,34.8706491553383,2329.309201764218,48.26291746013929,0.5482749221107626,0.20537840587050057,20.537840587050056,0.09958821653959908,0.019000957464014295,0.13784396056416218,0.548906950100658,diaria,BMW San Luis Potosi,Mexico,experimento
DeepNPTS_aprox,0.10235675951911277,0.02010503300091554,0.1417922177022263,0.5226955972147169,0.23881457407850307,23.881457407850306,35.825421144289635,2466.4694119602764,49.66356221577623,0.5216753162760408,0.21133872079222438,21.13387207922244,0.10235675951911277,0.02010503300091554,0.1417922177022263,0.5226955972147169,diaria,BMW San Luis Potosi,Mexico,experimento
