tarefa,resolucao,carater_tarefa,tipo_horizonte,horizonte,posicao_MAE,modelo,tipo_estimativa,semente,N_sementes,limitacao_sementes,N_localidades,N_origens,N_pontos,MAE_wm2,RMSE_wm2,nRMSE,R2,agregacao
daily_30,diaria,principal,lead_exato,30,3,TimesNet,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.1468091641993,55.07714486528168,0.2652031510091664,0.5360993707161869,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,30,4,LSTM,ensemble,NA,5,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,10,3370,3370,44.58465711526468,55.85542107020738,0.2684334118433001,0.5306899600546728,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,30,5,Climatologia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,45.35880564217044,58.385753526647385,0.2816495549956038,0.4880838971797977,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,30,6,Sazonal ingenuo,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,58.1624257901302,77.57126426621592,0.3746471648492698,0.0973217989464895,media_aritmetica_das_metricas_por_localidade
daily_30,diaria,principal,lead_exato,30,7,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3370,3370,69.23505201509515,87.20083524955507,0.4190124929664507,-0.1140397316164127,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,24,1,XGBoost,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,87120,48.36606929641259,96.04566899840329,0.4795329262301614,0.8791179236574234,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,24,2,TimesNet,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,87120,49.081627899496524,97.20797691536856,0.4854129331573377,0.8761548021771521,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,24,3,DilatedRNN,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,87120,50.73403276720437,101.17738299817913,0.5049277017271013,0.866510087263155,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,24,4,LSTM,semente,42,1,extensao_horaria_com_uma_semente_seed_42;sem_variabilidade_entre_sementes,10,3630,87120,50.906162611473846,100.00905075806476,0.4994941281705687,0.8691003784833706,media_aritmetica_das_metricas_por_localidade
hourly_72_extension,horaria,principal,cumulativo,24,5,Persistencia,deterministica,NA,NA,nao_aplicavel_modelo_deterministico,10,3630,87120,52.58371212121212,122.21076427609528,0.6128292788212941,0.8010462843437702,media_aritmetica_das_metricas_por_localidade
