tarefa,resolucao,limitacao_sementes,localidade,origem,horizonte,N_pontos,primeiro_alvo_local,ultimo_alvo_local,MAE_timesnet_wm2,MAE_dilatedrnn_wm2,ganho_timesnet_vs_dilatedrnn_wm2
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-12,1,1,2024-03-12 00:00:00,2024-03-12 00:00:00,17.623824348734956,19.965283769344637,2.341459420609681
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-13,1,1,2024-03-13 00:00:00,2024-03-13 00:00:00,1.5694802033697783,1.554095933776125,-0.015384269593653244
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-14,1,1,2024-03-14 00:00:00,2024-03-14 00:00:00,26.217457602017475,27.891661617815032,1.6742040157975566
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-15,1,1,2024-03-15 00:00:00,2024-03-15 00:00:00,77.4664611894948,76.25858443448362,-1.2078767550111706
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-16,1,1,2024-03-16 00:00:00,2024-03-16 00:00:00,17.209922038314403,15.328786862743357,-1.8811351755710461
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-17,1,1,2024-03-17 00:00:00,2024-03-17 00:00:00,13.57746220204325,11.096250408576793,-2.481211793466457
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-18,1,1,2024-03-18 00:00:00,2024-03-18 00:00:00,47.29685157782029,42.453617639434356,-4.843233938385936
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-19,1,1,2024-03-19 00:00:00,2024-03-19 00:00:00,16.40281514706595,20.585188287976848,4.182373140910897
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-20,1,1,2024-03-20 00:00:00,2024-03-20 00:00:00,46.69785895063012,49.90396509816941,3.2061061475392876
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-21,1,1,2024-03-21 00:00:00,2024-03-21 00:00:00,43.82182425998337,41.69113276354949,-2.130691496433883
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-22,1,1,2024-03-22 00:00:00,2024-03-22 00:00:00,57.467822268383145,53.52743606623005,-3.9403862021530927
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-23,1,1,2024-03-23 00:00:00,2024-03-23 00:00:00,44.765755950012704,39.27839967166318,-5.487356278349523
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-24,1,1,2024-03-24 00:00:00,2024-03-24 00:00:00,50.99564351511043,45.9643539647322,-5.031289550378233
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-25,1,1,2024-03-25 00:00:00,2024-03-25 00:00:00,28.49034782966612,25.418736729602983,-3.071611100063137
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-26,1,1,2024-03-26 00:00:00,2024-03-26 00:00:00,49.98846821601035,49.664117901577924,-0.32435031443242224
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-27,1,1,2024-03-27 00:00:00,2024-03-27 00:00:00,56.275084211936075,55.114615034446274,-1.1604691774898015
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-28,1,1,2024-03-28 00:00:00,2024-03-28 00:00:00,17.963514954077084,16.08420026280993,-1.8793146912671546
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-29,1,1,2024-03-29 00:00:00,2024-03-29 00:00:00,38.12280309053921,36.33879929260354,-1.784003797935668
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-30,1,1,2024-03-30 00:00:00,2024-03-30 00:00:00,43.73382266805237,41.68679013223215,-2.0470325358202217
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-03-31,1,1,2024-03-31 00:00:00,2024-03-31 00:00:00,26.198873012796128,23.629378145266855,-2.569494867529272
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-01,1,1,2024-04-01 00:00:00,2024-04-01 00:00:00,1.1465424988876407,0.29193587771391094,-0.8546066211737298
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-02,1,1,2024-04-02 00:00:00,2024-04-02 00:00:00,0.08746727435681123,2.222548174800181,2.13508090044337
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-03,1,1,2024-04-03 00:00:00,2024-04-03 00:00:00,40.35228739878039,35.17883343798951,-5.17345396079088
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-04,1,1,2024-04-04 00:00:00,2024-04-04 00:00:00,50.51708186678093,42.86635285775708,-7.6507290090238484
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-05,1,1,2024-04-05 00:00:00,2024-04-05 00:00:00,46.62982815071496,39.926242552070335,-6.703585598644622
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-06,1,1,2024-04-06 00:00:00,2024-04-06 00:00:00,31.04688893282048,25.9409553601198,-5.105933572700678
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-07,1,1,2024-04-07 00:00:00,2024-04-07 00:00:00,15.85317230705715,15.518232356239992,-0.33493995081715866
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-08,1,1,2024-04-08 00:00:00,2024-04-08 00:00:00,26.805460674706012,29.387286511432478,2.581825836726466
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-09,1,1,2024-04-09 00:00:00,2024-04-09 00:00:00,14.52037251795798,14.596520418618297,0.07614790066031674
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-10,1,1,2024-04-10 00:00:00,2024-04-10 00:00:00,34.00395595183619,35.057903885281746,1.0539479334455564
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-11,1,1,2024-04-11 00:00:00,2024-04-11 00:00:00,17.905711079449077,15.994531664064027,-1.9111794153850497
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-12,1,1,2024-04-12 00:00:00,2024-04-12 00:00:00,17.304715905123317,13.998433130461194,-3.3062827746621224
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-13,1,1,2024-04-13 00:00:00,2024-04-13 00:00:00,14.563760200393233,17.27893547090349,2.715175270510258
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-14,1,1,2024-04-14 00:00:00,2024-04-14 00:00:00,4.166111555836778,5.8038267340674565,1.6377151782306782
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-15,1,1,2024-04-15 00:00:00,2024-04-15 00:00:00,39.09384006957396,40.01621322899166,0.9223731594177025
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-16,1,1,2024-04-16 00:00:00,2024-04-16 00:00:00,55.612469195487506,55.34926965701618,-0.2631995384713264
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-17,1,1,2024-04-17 00:00:00,2024-04-17 00:00:00,7.460236284156849,4.134715531200072,-3.325520752956777
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-18,1,1,2024-04-18 00:00:00,2024-04-18 00:00:00,8.736328181289139,5.59813817929745,-3.1381900019916884
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-19,1,1,2024-04-19 00:00:00,2024-04-19 00:00:00,32.1057145212788,25.363332194210898,-6.742382327067901
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-20,1,1,2024-04-20 00:00:00,2024-04-20 00:00:00,9.490020369801698,18.9720774369232,9.482057067121502
daily_30,diaria,nenhuma;ensemble_de_cinco_sementes_para_modelos_aprendidos,BMW San Luis Potosi,2024-04-21,1,1,2024-04-21 00:00:00,2024-04-21 00:00:00,17.121300701295183,6.142893019704957,-10.978407681590227
